Job Name: DavesJob
Running on 2 nodes with 16 tasks per node
Total tasks: 32
Final Histogram (128 bins):
Bin 0: 62441
Bin 1: 62319
Bin 2: 61981
Bin 3: 62791
Bin 4: 62596
Bin 5: 62519
Bin 6: 62681
Bin 7: 62687
Bin 8: 62259
Bin 9: 62397
Bin 10: 62149
Bin 11: 62676
Bin 12: 62678
Bin 13: 62581
Bin 14: 62550
Bin 15: 62430
Bin 16: 62058
Bin 17: 62091
Bin 18: 62565
Bin 19: 62213
Bin 20: 62546
Bin 21: 62621
Bin 22: 62697
Bin 23: 62181
Bin 24: 62660
Bin 25: 62072
Bin 26: 62576
Bin 27: 62875
Bin 28: 62684
Bin 29: 62484
Bin 30: 62336
Bin 31: 62394
Bin 32: 62336
Bin 33: 62537
Bin 34: 62735
Bin 35: 62374
Bin 36: 62814
Bin 37: 62339
Bin 38: 62466
Bin 39: 62551
Bin 40: 62658
Bin 41: 62313
Bin 42: 62521
Bin 43: 62519
Bin 44: 62687
Bin 45: 62636
Bin 46: 61466
Bin 47: 62460
Bin 48: 62928
Bin 49: 62146
Bin 50: 62261
Bin 51: 62961
Bin 52: 62340
Bin 53: 62451
Bin 54: 62497
Bin 55: 62009
Bin 56: 62408
Bin 57: 62488
Bin 58: 62272
Bin 59: 61758
Bin 60: 62569
Bin 61: 62293
Bin 62: 62385
Bin 63: 62580
Bin 64: 62963
Bin 65: 62787
Bin 66: 62755
Bin 67: 62429
Bin 68: 62269
Bin 69: 62679
Bin 70: 63073
Bin 71: 62488
Bin 72: 62503
Bin 73: 62853
Bin 74: 62911
Bin 75: 62626
Bin 76: 63058
Bin 77: 62268
Bin 78: 62434
Bin 79: 62573
Bin 80: 62052
Bin 81: 62574
Bin 82: 62356
Bin 83: 62709
Bin 84: 62525
Bin 85: 62557
Bin 86: 62845
Bin 87: 62847
Bin 88: 62796
Bin 89: 62150
Bin 90: 62847
Bin 91: 62436
Bin 92: 62556
Bin 93: 62759
Bin 94: 62220
Bin 95: 62660
Bin 96: 62229
Bin 97: 62602
Bin 98: 62257
Bin 99: 62298
Bin 100: 63014
Bin 101: 62315
Bin 102: 62263
Bin 103: 62406
Bin 104: 62974
Bin 105: 62189
Bin 106: 62522
Bin 107: 62324
Bin 108: 62744
Bin 109: 62155
Bin 110: 62302
Bin 111: 63167
Bin 112: 62977
Bin 113: 62442
Bin 114: 62156
Bin 115: 62582
Bin 116: 62633
Bin 117: 62402
Bin 118: 62280
Bin 119: 62574
Bin 120: 62760
Bin 121: 62467
Bin 122: 62731
Bin 123: 62127
Bin 124: 62323
Bin 125: 62741
Bin 126: 62412
Bin 127: 62528
Total values tallied: 8000000 (expected ~8000000)
Time elapsed: 0.0748538 seconds
